date,temperature,humidity,uv,lux,cpm,aqi,apl
21:25:15.961693,22.5,34.4,0,497.59999999999997,27,69,0
21:25:17.103272,22.5,34.4,0,490.40000000000003,26,69,0
21:25:20.761291,22.5,34.3,0,472.79999999999995,26,68,0
21:25:21.906051,22.5,34.3,0,496.0,26,68,0
21:25:23.407479,22.5,34.3,1,474.40000000000003,25,69,0
21:25:24.548407,22.5,34.3,1,471.2,25,68,0
21:25:30.483123,22.5,34.2,0,496.79999999999995,22,68,0
21:25:31.629028,22.5,34.2,1,517.6,22,68,0
21:25:35.402391,22.5,34.3,0,496.79999999999995,18,68,0
21:25:36.551585,22.5,34.3,0,482.40000000000003,17,68,0
21:25:42.470216,22.5,34.4,1,434.40000000000003,14,69,0
21:25:43.617724,22.5,34.4,1,455.2,14,68,0
21:25:49.549522,22.5,34.6,1,430.40000000000003,13,68,0
21:25:50.697791,22.5,34.6,1,435.2,13,69,0
21:25:58.891922,22.5,34.4,1,457.59999999999997,15,68,0
21:26:00.042699,22.5,34.4,0,467.2,15,68,0
21:26:01.452324,22.5,34.3,1,436.0,15,68,0
21:26:02.608087,22.5,34.3,1,435.2,16,67,0
21:26:04.014303,22.5,34.1,0,466.40000000000003,16,68,0
21:26:05.161051,22.5,34.1,0,503.2,15,67,0
21:26:08.834914,22.5,34.1,1,481.59999999999997,13,67,0
21:26:09.974836,22.5,34.1,1,474.40000000000003,13,67,0
21:26:13.639727,22.6,34.0,1,427.2,16,67,0
21:26:14.791758,22.6,34.0,0,427.2,17,67,0
21:26:16.361970,22.5,34.0,0,432.79999999999995,18,67,0
